RxCUI,Drug_Class
897676,CCB
897680,CCB
897683,CCB
897685,CCB
897693,CCB
897694,CCB
897700,CCB
897714,CCB
897719,CCB
897721,CCB
897722,CCB
897723,CCB
897726,CCB
897735,CCB
897743,CCB
898340,CCB
901434,CCB
901435,CCB
901438,CCB
901444,CCB
901446,CCB
901448,CCB
901450,CCB
901468,CCB
901522,CCB
901523,CCB
901525,CCB
901526,CCB
977865,CCB
977867,CCB
1091623,CCB
1091624,CCB
1091626,CCB
1091627,CCB
1091629,CCB
1091630,CCB
1091632,CCB
1091633,CCB
1091635,CCB
1091636,CCB
1091638,CCB
1091639,CCB
1236453,CCB
1236458,CCB
1313987,CCB
1359734,CCB
1359797,CCB
7417,CCB
203138,CCB
203211,CCB
898316,CCB
198037,CCB
207779,CCB
1423767,CCB
1791232,CCB
1791233,CCB
1791240,CCB
1812011,CCB
1812013,CCB
1812015,CCB
248267,CCB_ACE
371002,CCB_ACE
372008,CCB_ACE
372009,CCB_ACE
374178,CCB_ACE
379582,CCB_ACE
389180,CCB_ACE
389181,CCB_ACE
393440,CCB_ACE
410743,CCB_ACE
411759,CCB_ACE
431825,CCB_ACE
439270,CCB_ACE
833237,CCB_ACE
846148,CCB_ACE
858618,CCB_ACE
858621,CCB_ACE
858884,CCB_ACE
858892,CCB_ACE
897778,CCB_ACE
897780,CCB_ACE
897781,CCB_ACE
897782,CCB_ACE
897783,CCB_ACE
897785,CCB_ACE
897786,CCB_ACE
897787,CCB_ACE
897844,CCB_ACE
897846,CCB_ACE
897847,CCB_ACE
897848,CCB_ACE
897853,CCB_ACE
897855,CCB_ACE
897856,CCB_ACE
897857,CCB_ACE
898342,CCB_ACE
898344,CCB_ACE
898346,CCB_ACE
898348,CCB_ACE
898350,CCB_ACE
898352,CCB_ACE
898353,CCB_ACE
898355,CCB_ACE
898356,CCB_ACE
898358,CCB_ACE
898359,CCB_ACE
898361,CCB_ACE
901451,CCB_ACE
1600724,CCB_ACE
1600728,CCB_ACE
722125,CCB_ARB
722126,CCB_ARB
722131,CCB_ARB
722134,CCB_ARB
722137,CCB_ARB
724879,CCB_ARB
724887,CCB_ARB
724891,CCB_ARB
724895,CCB_ARB
730860,CCB_ARB
730861,CCB_ARB
730866,CCB_ARB
730869,CCB_ARB
730872,CCB_ARB
744624,CCB_ARB
744628,CCB_ARB
744632,CCB_ARB
744636,CCB_ARB
876513,CCB_ARB
876514,CCB_ARB
876518,CCB_ARB
876519,CCB_ARB
876523,CCB_ARB
876524,CCB_ARB
876528,CCB_ARB
876529,CCB_ARB
876533,CCB_ARB
251254,CCB_BB
252201,CCB_BB
370961,CCB_BB
376172,CCB_BB
393275,CCB_BB
393276,CCB_BB
411852,CCB_BB
411867,CCB_BB
431674,CCB_BB
432616,CCB_BB
439560,CCB_BB
446671,CCB_BB
446677,CCB_BB
432767,CCB_loop
446675,CCB_loop
1009218,CCB_renin
1009220,CCB_renin
1009247,CCB_renin
1009249,CCB_renin
1009253,CCB_renin
1009315,CCB_renin
1009319,CCB_renin
1009320,CCB_renin
1009324,CCB_renin
1050796,CCB_diuretic_renin
1050798,CCB_diuretic_renin
1050802,CCB_diuretic_renin
1050803,CCB_diuretic_renin
1050805,CCB_diuretic_renin
1050806,CCB_diuretic_renin
1050808,CCB_diuretic_renin
1050809,CCB_diuretic_renin
1050811,CCB_diuretic_renin
1050812,CCB_diuretic_renin
1050814,CCB_diuretic_renin
432674,CCB_vaso
439288,CCB_vaso
104357,central
141951,central
152966,central
152967,central
197743,central
197744,central
197745,central
197746,central
197955,central
197956,central
197957,central
197958,central
201352,central
201354,central
201355,central
201358,central
201361,central
206387,central
206389,central
206412,central
206413,central
250546,central
250547,central
310661,central
311645,central
371581,central
371583,central
372364,central
372368,central
372854,central
372855,central
372969,central
375716,central
375876,central
376259,central
376862,central
388078,central
411773,central
411774,central
411775,central
432414,central
446452,central
451311,central
884173,central
884175,central
884185,central
884187,central
884189,central
884191,central
885790,central
885794,central
885878,central
885879,central
885880,central
885881,central
885882,central
885883,central
892789,central
892791,central
892795,central
998671,central
998673,central
998675,central
998677,central
998679,central
998681,central
1013930,central
1013934,central
1013935,central
1013936,central
1013937,central
1013939,central
1013940,central
1050315,central
1050316,central
1050334,central
1050335,central
1050338,central
1050339,central
1087322,central
1087323,central
1233709,central
1233785,central
1233786,central
1233789,central
1233790,central
1360022,central
1360044,central
1360045,central
1360087,central
1360120,central
1360303,central
2599,central
6876,central
142432,central
202693,central
862006,central
862010,central
862013,central
862015,central
862019,central
862021,central
862025,central
862027,central
93252,diuretic
93253,diuretic
104243,diuretic
104245,diuretic
104246,diuretic
104248,diuretic
108966,diuretic
198314,diuretic
198315,diuretic
198316,diuretic
208124,diuretic
250708,loop
251268,diuretic
310812,diuretic
310817,diuretic
310818,diuretic
314029,diuretic
370638,diuretic
370640,diuretic
370848,diuretic
370851,diuretic
374192,diuretic
374195,diuretic
374196,loop
376315,diuretic
409813,diuretic
427390,diuretic
427727,diuretic
428210,diuretic
428292,diuretic
428603,diuretic
429932,diuretic
429933,diuretic
429934,diuretic
430625,loop
432599,diuretic
432676,diuretic
432677,diuretic
432742,diuretic
437575,diuretic
437576,diuretic
437578,diuretic
452285,diuretic
452289,diuretic
452292,diuretic
452299,diuretic
452300,diuretic
452302,diuretic
539539,diuretic
977883,diuretic
977885,diuretic
977907,diuretic
977950,diuretic
103932,loop
103933,loop
103934,loop
153000,loop
246528,loop
249062,loop
251054,loop
370847,loop
370850,loop
977890,loop
977945,loop
977951,loop
977959,loop
103966,diuretic_ACE
104370,diuretic_ACE
197436,diuretic_ACE
197437,diuretic_ACE
197438,diuretic_ACE
197439,diuretic_ACE
197885,diuretic_ACE
197886,diuretic_ACE
197887,diuretic_ACE
207961,diuretic_ACE
207963,diuretic_ACE
207965,diuretic_ACE
211053,diuretic_ACE
211072,diuretic_ACE
249851,diuretic_ACE
252371,diuretic_ACE
310796,diuretic_ACE
310797,diuretic_ACE
310809,diuretic_ACE
349449,diuretic_ACE
371000,diuretic_ACE
371253,diuretic_ACE
371507,diuretic_ACE
372006,diuretic_ACE
372273,diuretic_ACE
372613,diuretic_ACE
372946,diuretic_ACE
373732,diuretic_ACE
376291,diuretic_ACE
393357,diuretic_ACE
428808,diuretic_ACE
428812,diuretic_ACE
428813,diuretic_ACE
429647,diuretic_ACE
429935,diuretic_ACE
430636,diuretic_ACE
446301,diuretic_ACE
541946,diuretic_ACE
790296,diuretic_ACE
790297,diuretic_ACE
809854,diuretic_ACE
809858,diuretic_ACE
823971,diuretic_ACE
823982,diuretic_ACE
823986,diuretic_ACE
854993,diuretic_ACE
857166,diuretic_ACE
857174,diuretic_ACE
857178,diuretic_ACE
857182,diuretic_ACE
858824,diuretic_ACE
858827,diuretic_ACE
858828,diuretic_ACE
858830,diuretic_ACE
858921,diuretic_ACE
882559,diuretic_ACE
898362,diuretic_ACE
898366,diuretic_ACE
898367,diuretic_ACE
898371,diuretic_ACE
898372,diuretic_ACE
898376,diuretic_ACE
898378,diuretic_ACE
898382,diuretic_ACE
991549,diuretic_ACE
991553,diuretic_ACE
991557,diuretic_ACE
1001394,diuretic_ACE
